Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Deep Bay,DM2,2015-04-25,1,Surface Water,3.2,0.013,14.3,0.26,2.48,1.5,1.98,24.8,16,3.8,1.2,20.6,8.5,7.4,0.17,0.16,0.82,430,190,6.8,92.0,9.8,1,2.3
Deep Bay,DM2,2015-05-09,1,Surface Water,2.8,0.01,14.0,0.14,2.46,0.79,2.04,28.8,18,5.3,1.0,16.2,3.1,7.6,0.1,0.17,1.5,62,16,4.5,64.0,5,0.37,1.3
Deep Bay,DM2,2015-06-13,1,Surface Water,4.3,0.076,41.0,0.56,4.67,3.2,3.17,31.2,59,16,1.0,4.2,31,7.7,0.27,1,0.47,910,370,6.4,88.0,52,1.7,5.7
Deep Bay,DM2,2015-07-18,1,Surface Water,3.6,0.015,14.3,0.34,2.43,1.4,1.97,31.3,21,11,1.0,16.2,0.6,7.3,0.26,0.42,0.61,1400,630,3.9,57.0,2.9,0.94,1.4
Deep Bay,DM2,2015-08-03,1,Surface Water,6,0.01,25.2,0.22,2.65,1,2.27,30.2,40,10,1.1,9.6,4.6,7.3,0.16,0.65,1,350,80,2.9,41.0,2.1,0.62,2.2
Deep Bay,DM2,2015-09-12,1,Surface Water,2.9,0.015,12.7,0.3,2.38,1.1,1.87,29.2,14,7,0.7,15.7,5.4,7.5,0.2,0.46,0.82,120,35,4.9,70.0,9.2,0.59,4.2
Deep Bay,DM2,2015-10-10,1,Surface Water,3.6,0.027,12.8,0.39,3.86,2.9,2.36,27.3,17,8.7,0.8,8.9,4.9,7.5,0.3,0.39,0.57,1100,530,3.2,43.0,9.8,1.4,2.3
Deep Bay,DM2,2015-11-07,1,Surface Water,5.2,0.032,18.3,0.46,4.28,3,3.08,26.4,27,8.4,0.8,19.9,6.8,7.5,0.35,0.49,0.79,7400,4000,4.8,67.0,11,1.8,2.8
Deep Bay,DM2,2015-12-05,1,Surface Water,8.5,0.021,27.1,0.33,3.58,2,2.88,21.0,61,5.6,0.7,16.3,4.4,7.6,0.24,0.38,1.2,20000,12000,6.1,75.0,10,1.3,3
Deep Bay,DM2,2016-01-11,1,Surface Water,5.4,0.026,11.8,0.26,2.7,1.7,1.77,19.5,19,1.9,1.5,20.3,7,8.0,0.17,0.28,0.72,3800,2800,7.0,85.0,21,0.77,3.2
Deep Bay,DM2,2016-02-03,1,Surface Water,5.6,0.001,17.0,0.22,1.99,1.1,1.4,14.8,29,4.1,0.9,21.6,2.7,7.1,0.11,0.14,0.75,15000,12000,3.4,38.0,3.8,0.51,1.9
